クラブ名,売上高（億円）,平均観客動員数,Jリーグ3大タイトル,ACL（ACLE）優勝,タイトル計,売上スコア,観客スコア,タイトルスコア,商業的ビッグクラブスコア,総合的ビッグクラブスコア,過去10年J1在籍年数,J1在籍平均順位,J1在籍10年平均順位,J1在籍10年平均順位スコア,所属リーグ,チームカラー,緯度,経度,平均順位スコア,総合的ビッグクラブスコア_prev,売上高（億円）_prev,平均観客動員数_prev,タイトル計_prev,J1在籍10年平均順位スコア_prev
いわきFC,14.08,4372,,,0,7.0,9.7,0.0,8.4,3.6,0,21.0,21,0,J2,#DA251D,37.04,140.1,0,3.5,14.08,4290,0,0
水戸ホーリーホック,12.24,6006,,,0,6.1,13.3,0.0,9.7,3.8,0,21.0,21,0,J2,#0065B3,36.38,140.1,0,3.3,12.24,4406,0,0
FC今治,13.53,4800,,,0,6.8,10.7,0.0,8.7,3.6,0,21.0,21,0,J2,#004EA2,34.06,132.99,0,3.3,13.53,3785,0,0
愛媛FC,11.19,4730,,,0,5.6,10.5,0.0,8.1,3.3,0,21.0,21,0,J2,#FF8C00,33.84,132.79,0,3.3,11.19,4721,0,0
ブラウブリッツ秋田,10.7,4953,,,0,5.4,11.0,0.0,8.2,3.3,0,21.0,21,0,J2,#00A0E9,39.72,140.1,0,3,10.7,4127,0,0
藤枝MYFC,9.7,5030,,,0,4.9,11.2,0.0,8.0,3.1,0,21.0,21,0,J2,#663399,34.85,138.25,0,2.9,9.7,4274,0,0
カターレ富山,9.19,5635,,,0,4.6,12.5,0.0,8.6,3.3,0,21.0,21,0,J2,#19448E,36.7,137.21,0,2.7,9.19,4091,0,0
松本山雅FC,14.32,7573,,,0,7.2,16.8,0.0,12.0,4.8,1,17.0,20.6,0.4,J3,#006400,36.2,137.97,1,5.3,14.32,8489,0,1
レノファ山口FC,12.51,5767,,,0,6.3,12.8,0.0,9.5,3.8,0,21.0,21,0,J3,#F58220,34.18,131.47,0,3.9,12.51,6089,0,0
鹿児島ユナイテッドFC,11.3,6861,,,0,5.7,15.2,0.0,10.4,4.0,0,21.0,21,0,J3,#0033A0,31.56,130.55,0,3.9,11.3,6596,0,0
栃木SC,11.99,5394,,,0,6.0,12.0,0.0,9.0,3.6,0,21.0,21,0,J3,#FFC700,36.56,139.4,0,3.9,11.99,6238,0,0
ツエーゲン金沢,12.74,5564,,,0,6.4,12.4,0.0,9.4,3.8,0,21.0,21,0,J3,#E50012,36.58,136.65,0,3.7,12.74,5434,0,0
FC岐阜,10.1,4773,,,0,5.1,10.6,0.0,7.8,3.1,0,21.0,21,0,J3,#008442,35.42,136.74,0,3.1,10.1,4683,0,0
ギラヴァンツ北九州,9.7,5563,,,0,4.9,12.4,0.0,8.6,3.3,0,21.0,21,0,J3,#FFD700,33.88,130.87,0,3,9.7,4649,0,0
ザスパ群馬,10.7,3555,,,0,5.4,7.9,0.0,6.6,2.8,0,21.0,21,0,J3,#00539E,36.33,139.06,0,2.9,10.7,3988,0,0
AC長野パルセイロ,8.74,4373,,,0,4.4,9.7,0.0,7.0,2.8,0,21.0,21,0,J3,#F58220,36.65,138.18,0,2.7,8.74,4158,0,0
SC相模原,10.74,2810,,,0,5.4,6.2,0.0,5.8,2.5,0,21.0,21,0,J3,#00AEEF,35.57,139.37,0,2.6,10.74,2819,0,0
FC琉球,6.3,2729,,,0,3.2,6.1,0.0,4.6,1.9,0,21.0,21,0,J3,#A5002D,31.56,135.55,0,1.9,6.3,3007,0,0
FC大阪,6.59,2698,,,0,3.3,6.0,0.0,4.6,1.9,0,21.0,21,0,J3,#6DCFF6,34.68,135.62,0,1.8,6.59,2470,0,0
アスルクラロ沼津,5.89,3417,,,0,2.9,7.6,0.0,5.3,2.0,0,21.0,21,0,J3,#0068B7,35.1,138.86,0,1.8,5.89,2633,0,0
ガイナーレ鳥取,4.69,2835,,,0,2.3,6.3,0.0,4.3,1.6,0,21.0,21,0,J3,#009E48,35.2,133.15,0,1.5,4.69,2433,0,0
奈良クラブ,4.65,2239,,,0,2.3,5.0,0.0,3.7,1.4,0,21.0,21,0,J3,#0066B3,34.68,135.8,0,1.3,4.65,1879,0,0
カマタマーレ讃岐,4.23,2203,,,0,2.1,4.9,0.0,3.5,1.4,0,21.0,21,0,J3,#00AEEF,34.34,134.04,0,1.3,4.23,1948,0,0
ヴァンラーレ八戸,4.45,2374,,,0,2.2,5.3,0.0,3.8,1.5,0,21.0,21,0,J3,#2E8B57,40.51,140.3,0,1.2,4.45,1728,0,0
福島ユナイテッドFC,4,2374,,,0,2.0,5.3,0.0,3.6,1.4,0,21.0,21,0,J3,#EB0013,37.45,140.2,0,1.2,4,1799,0,0
テゲバジャーロ宮崎,5.1,2413,,,0,2.6,5.4,0.0,4.0,1.6,0,21.0,21,0,J3,#F59700,31.91,131.42,0,1.2,5.1,1164,0,0
栃木シティ,3.49,3036,0,0,0,1.7,6.7,0.0,4.2,1.5,0,21.0,21,0,J3,#9B2995,36.38,139.3,0,1.4,3.49,2495,0,0
高知ユナイテッドSC,2,2406,0,0,0,1.0,5.3,0.0,3.2,1.1,0,21.0,21,0,J3,#E01A24,33.55,133.53,0,1.1,2,2271,0,0
いわてグルージャ盛岡,6.89,0,0,0,0,3.4,0.0,0.0,1.7,1.0,0,21.0,21,0,JFL,#FFFFFF,39.7,140.85,0,1.5,6.89,1361,0,0
Y.S.C.C.横浜,2.51,0,0,0,0,1.3,0.0,0.0,0.6,0.4,0,21.0,21,0,JFL,#69B3E7,35.44,139.64,0,0.9,2.51,1556,0,0
レイラック滋賀,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
ヴェルスパ大分,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
ラインメール青森,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
沖縄SV,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
Honda FC,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
ブリオベッカ浦安・市川,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
FCティアモ枚方,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
ミネベアミツミFC,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
ヴィアティン三重,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
アトレチコ鈴鹿,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
FCマルヤス岡崎,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
クリアソン新宿,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
横河武蔵野FC,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
飛鳥FC,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.0,21,0,JFL,,,,0,0,0,0,0,0
