順位,チーム名,勝点,試合数,勝,分,敗,得点,失点,得失点差
1,鹿島アントラーズ,41,22,13,2,7,32,20,12
2,柏レイソル,41,22,11,8,3,30,20,10
3,京都サンガF.C.,38,22,11,5,6,36,26,10
4,ヴィッセル神戸,37,21,11,4,6,27,21,6
5,サンフレッチェ広島,36,21,11,3,7,26,17,9
6,川崎フロンターレ,35,22,9,8,5,35,23,12
7,浦和レッズ,34,21,9,7,5,26,20,6
8,ＦＣ町田ゼルビア,34,22,10,4,8,30,25,5
9,セレッソ大阪,33,22,9,6,7,34,29,5
10,ファジアーノ岡山,30,22,8,6,8,19,19,0
11,アビスパ福岡,30,22,8,6,8,19,21,-2
12,ガンバ大阪,28,22,8,4,10,26,30,-4
13,名古屋グランパス,27,22,7,6,9,28,30,-2
14,清水エスパルス,27,22,7,6,9,27,29,-2
15,東京ヴェルディ,27,22,7,6,9,15,23,-8
16,ＦＣ東京,26,22,7,5,10,24,31,-7
17,湘南ベルマーレ,23,21,6,5,10,16,26,-10
18,横浜ＦＣ,19,22,5,4,13,14,27,-13
19,アルビレックス新潟,19,22,4,7,11,23,37,-14
20,横浜Ｆ・マリノス,15,22,3,6,13,19,32,-13
