国,リーグ,所属クラブ,選手名,出身国,年齢,身長,体重,ポジション,詳細
日本,J3,FC大阪,ヴィニシウス・ソウザ,ブラジル,22,,,FW,フォワード
日本,J3,福島ユナイテッドFC,上田 智輝,日本,,182cm,80kg,GK,ゴールキーパー
日本,J3,福島ユナイテッドFC,吉丸 絢梓,日本,,183cm,,GK,ゴールキーパー
日本,J3,福島ユナイテッドFC,安西 駿,日本,,,,GK,ゴールキーパー
日本,J3,福島ユナイテッドFC,田中 雄大,日本,,,,GK,ゴールキーパー
日本,J3,福島ユナイテッドFC,山田 将之,日本,,,,DF,ディフェンダー
日本,J3,福島ユナイテッドFC,松長根 悠仁,日本,,,,DF,ディフェンダー
日本,J3,福島ユナイテッドFC,藤谷 匠,日本,,,,DF,ディフェンダー
日本,J3,福島ユナイテッドFC,安在 達弥,日本,,,,DF,ディフェンダー
日本,J3,福島ユナイテッドFC,野末 学,日本,,,,DF,ディフェンダー
日本,J3,福島ユナイテッドFC,鈴 直樹,日本,,,,DF,ディフェンダー
日本,J3,福島ユナイテッドFC,柴田 徹,日本,,,,DF,ディフェンダー
日本,J3,福島ユナイテッドFC,上畑 佑平士,日本,,,,MF,ミッドフィールダー
日本,J3,福島ユナイテッドFC,針谷 岳晃,日本,,,,MF,ミッドフィールダー
日本,J3,福島ユナイテッドFC,吉永 大志,日本,,,,MF,ミッドフィールダー
日本,J3,福島ユナイテッドFC,森 晃太,日本,,,,MF,ミッドフィールダー
日本,J3,福島ユナイテッドFC,宮崎 智彦,日本,,,,MF,ミッドフィールダー
日本,J3,福島ユナイテッドFC,中村 翼,日本,,,,MF,ミッドフィールダー
日本,J3,福島ユナイテッドFC,當麻 颯,日本,,,,MF,ミッドフィールダー
日本,J3,福島ユナイテッドFC,狩野 海晟,日本,,,,MF,ミッドフィールダー
日本,J3,福島ユナイテッドFC,由井 航太,日本,,,,MF,ミッドフィールダー
日本,J3,福島ユナイテッドFC,粟野 健翔,日本,,,,MF,ミッドフィールダー
日本,J3,福島ユナイテッドFC,清水 一雅,日本,,,,FW,フォワード
日本,J3,福島ユナイテッドFC,飯島 陸,日本,,,,FW,フォワード
日本,J3,福島ユナイテッドFC,矢島 輝一,日本,,,,FW,フォワード
日本,J3,福島ユナイテッドFC,城定 幹大,日本,,,,FW,フォワード
日本,J3,福島ユナイテッドFC,石井 稜真,日本,,,,FW,フォワード
日本,J3,福島ユナイテッドFC,樋口 寛規,日本,,,,FW,フォワード
日本,J3,高知ユナイテッドSC,黒川 雷平,日本,22,188cm,81kg,GK,ゴールキーパー
日本,J3,高知ユナイテッドSC,井上 聖也,日本,25,185cm,80kg,GK,ゴールキーパー
日本,J3,高知ユナイテッドSC,大杉 啓,日本,28,184cm,78kg,GK,ゴールキーパー
日本,J3,高知ユナイテッドSC,伊藤 龍世,日本,24,,,GK,ゴールキーパー
日本,J3,高知ユナイテッドSC,吉田 晴稀,日本,24,175cm,70kg,DF,ディフェンダー
日本,J3,高知ユナイテッドSC,田辺 陽太,日本,23,180cm,75kg,DF,ディフェンダー
日本,J3,高知ユナイテッドSC,小林 大智,日本,26,178cm,73kg,DF,ディフェンダー
日本,J3,高知ユナイテッドSC,ジョン・ガブリエル,ブラジル,29,190cm,85kg,DF,ディフェンダー
日本,J3,高知ユナイテッドSC,佐々木 敦河,日本,23,,,DF,ディフェンダー
日本,J3,高知ユナイテッドSC,下堂 竜聖,日本,28,,,DF,ディフェンダー
日本,J3,高知ユナイテッドSC,岡本 定,日本,23,,,DF,ディフェンダー
日本,J3,高知ユナイテッドSC,小松 京平,日本,22,,,DF,ディフェンダー
日本,J3,高知ユナイテッドSC,新谷 歩夢,日本,22,,,DF,ディフェンダー
日本,J3,高知ユナイテッドSC,三好 果宿,日本,23,,,DF,ディフェンダー
日本,J3,高知ユナイテッドSC,高野 瀬登,日本,27,170cm,65kg,MF,ミッドフィールダー
日本,J3,高知ユナイテッドSC,金井 冬土,日本,24,176cm,66kg,MF,ミッドフィールダー
日本,J3,高知ユナイテッドSC,宇田 光史朗,日本,20,176cm,69kg,MF,ミッドフィールダー
日本,J3,高知ユナイテッドSC,弓場 大輝,日本,23,,,MF,ミッドフィールダー
日本,J3,高知ユナイテッドSC,内山 優音,日本,22,,,MF,ミッドフィールダー
日本,J3,高知ユナイテッドSC,岡澤 アキラ,日本,24,,,MF,ミッドフィールダー
日本,J3,高知ユナイテッドSC,朴 龍二,韓国,25,171cm,62kg,MF,ミッドフィールダー
日本,J3,高知ユナイテッドSC,原田 大地,日本,24,,,MF,ミッドフィールダー
日本,J3,高知ユナイテッドSC,児玉 壮琉,日本,22,,,MF,ミッドフィールダー
日本,J3,高知ユナイテッドSC,田口 光樹,日本,22,,,MF,ミッドフィールダー
日本,J3,高知ユナイテッドSC,梁 賢柱,韓国,27,180cm,75kg,FW,フォワード
日本,J3,高知ユナイテッドSC,小林 心,日本,24,171cm,67kg,FW,フォワード
日本,J3,高知ユナイテッドSC,福田 稜,日本,25,,,FW,フォワード
日本,J3,高知ユナイテッドSC,東家 聡樹,日本,28,186cm,76kg,FW,フォワード
日本,J3,高知ユナイテッドSC,水野 颯太,日本,25,173cm,68kg,FW,フォワード
日本,J3,高知ユナイテッドSC,杉山 伶央,日本,25,181cm,76kg,FW,フォワード
日本,J3,カマタマーレ讃岐,今村 俊介,日本,,187cm,82kg,GK,ゴールキーパー
日本,J3,カマタマーレ讃岐,高橋 拓也,日本,,181cm,70kg,GK,ゴールキーパー
日本,J3,カマタマーレ讃岐,飯田 雅浩,日本,,185cm,82kg,GK,ゴールキーパー
日本,J3,カマタマーレ讃岐,内田 瑞己,日本,,177cm,72kg,DF,ディフェンダー
日本,J3,カマタマーレ讃岐,井林 章,日本,,180cm,78kg,DF,ディフェンダー
日本,J3,カマタマーレ讃岐,小松 拓幹,日本,,185cm,80kg,DF,ディフェンダー
日本,J3,カマタマーレ讃岐,宮市 剛,日本,,186cm,77kg,DF,ディフェンダー
日本,J3,カマタマーレ讃岐,吉田 陣平,日本,,175cm,70kg,DF,ディフェンダー
日本,J3,カマタマーレ讃岐,田尾 佳祐,日本,,182cm,78kg,DF,ディフェンダー
日本,J3,カマタマーレ讃岐,左合 修土,日本,,174cm,67kg,DF,ディフェンダー
日本,J3,カマタマーレ讃岐,藤井 葉大,日本,,187cm,80kg,DF,ディフェンダー
日本,J3,カマタマーレ讃岐,附木 雄也,日本,,183cm,80kg,DF,ディフェンダー
日本,J3,カマタマーレ讃岐,長谷川 隼,日本,,178cm,70kg,MF,ミッドフィールダー
日本,J3,カマタマーレ讃岐,江口 直生,日本,,172cm,68kg,MF,ミッドフィールダー
日本,J3,カマタマーレ讃岐,森 勇人,日本,,175cm,68kg,MF,ミッドフィールダー
日本,J3,カマタマーレ讃岐,前川 大河,日本,,171cm,66kg,MF,ミッドフィールダー
日本,J3,カマタマーレ讃岐,牧山 晃政,日本,,170cm,65kg,MF,ミッドフィールダー
日本,J3,カマタマーレ讃岐,宇都木 峻,日本,,172cm,65kg,MF,ミッドフィールダー
日本,J3,カマタマーレ讃岐,河上 将平,日本,,170cm,65kg,MF,ミッドフィールダー
日本,J3,カマタマーレ讃岐,柳 雄太郎,日本,,173cm,68kg,MF,ミッドフィールダー
日本,J3,カマタマーレ讃岐,石倉 潤征,日本,,170cm,68kg,MF,ミッドフィールダー
日本,J3,カマタマーレ讃岐,エドゥアルド,ブラジル,,170cm,65kg,MF,ミッドフィールダー
日本,J3,カマタマーレ讃岐,丹羽 詩温,日本,,180cm,72kg,FW,フォワード
日本,J3,カマタマーレ讃岐,川西 翔太,日本,,177cm,70kg,FW,フォワード
日本,J3,カマタマーレ讃岐,岩岸 宗志,日本,,176cm,73kg,FW,フォワード
日本,J3,カマタマーレ讃岐,上野 輝人,日本,,168cm,65kg,FW,フォワード
日本,J3,カマタマーレ讃岐,後藤 優介,日本,,180cm,70kg,FW,フォワード
日本,J3,カマタマーレ讃岐,ドゥンガ,ブラジル,,180cm,78kg,FW,フォワード
日本,J3,奈良クラブ,宮澤 樹,日本,22,184cm,78kg,GK,ゴールキーパー
日本,J3,奈良クラブ,岡田 慎司,日本,29,180cm,78kg,GK,ゴールキーパー
日本,J3,奈良クラブ,関沼 海亜,日本,20,183cm,,GK,ゴールキーパー
日本,J3,奈良クラブ,マルク・ビト,スペイン,29,,,GK,ゴールキーパー
日本,J3,奈良クラブ,澤田 雄大,日本,26,,,DF,ディフェンダー
日本,J3,奈良クラブ,鈴木 大誠,日本,29,,,DF,ディフェンダー
日本,J3,奈良クラブ,中山 雅斗,日本,23,,,DF,ディフェンダー
日本,J3,奈良クラブ,都並 優太,日本,33,,,DF,ディフェンダー
日本,J3,奈良クラブ,奥田 雄大,日本,28,,,DF,ディフェンダー
日本,J3,奈良クラブ,生駒 稀生,日本,27,,,DF,ディフェンダー
日本,J3,奈良クラブ,ユ・イェチャン,韓国,24,,,DF,ディフェンダー
日本,J3,奈良クラブ,佐藤 大翔,日本,22,,,DF,ディフェンダー
日本,J3,奈良クラブ,吉村 弦,日本,29,,,DF,ディフェンダー
日本,J3,奈良クラブ,タワットチャイ・インパコーン,タイ,22,,,DF,ディフェンダー
日本,J3,奈良クラブ,田村 亮介,日本,30,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,堀内 颯人,日本,28,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,山本 宗太朗,日本,29,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,中島 賢星,日本,28,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,國武 勇斗,日本,19,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,戸水 利紀,アメリカ,22,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,岡田 優希,日本,29,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,神垣 陸,日本,26,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,川井 大地,日本,18,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,森田 凜,日本,23,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,川谷 凪,日本,21,,,MF,ミッドフィールダー
日本,J3,奈良クラブ,酒井 達磨,日本,29,,,FW,フォワード
日本,J3,奈良クラブ,百田 真登,日本,24,,,FW,フォワード
日本,J3,奈良クラブ,田村 翔太,日本,30,,,FW,フォワード
日本,J3,奈良クラブ,関口 智也,日本,18,,,FW,フォワード
日本,J3,栃木SCSC,川田 修平,日本,,,,GK,ゴールキーパー
日本,J3,栃木SCSC,キム・ミンジュン,韓国,,,,GK,ゴールキーパー
日本,J3,栃木SCSC,丹野 研太,日本,,,,GK,ゴールキーパー
日本,J3,栃木SCSC,鹿野 修平,日本,,,,GK,ゴールキーパー
日本,J3,栃木SCSC,平松 航,日本,,,,DF,ディフェンダー
日本,J3,栃木SCSC,大森 博,日本,,181cm,77kg,DF,ディフェンダー
日本,J3,栃木SCSC,森 璃太,日本,,,,DF,ディフェンダー
日本,J3,栃木SCSC,福森 健太,日本,,,,DF,ディフェンダー
日本,J3,栃木SCSC,坂 圭祐,日本,,,,DF,ディフェンダー
日本,J3,栃木SCSC,高橋 秀典,日本,,,,DF,ディフェンダー
日本,J3,栃木SCSC,岩崎 博,日本,,,,DF,ディフェンダー
日本,J3,栃木SCSC,ラファエル,ブラジル,,,,DF,ディフェンダー
日本,J3,栃木SCSC,木邨 優人,日本,,184cm,75kg,DF,ディフェンダー
日本,J3,栃木SCSC,佐藤 祥,日本,,,,MF,ミッドフィールダー
日本,J3,栃木SCSC,揚石 琉生,日本,,179cm,70kg,MF,ミッドフィールダー
日本,J3,栃木SCSC,屋宜 和真,日本,,167cm,60kg,MF,ミッドフィールダー
日本,J3,栃木SCSC,堀内 陽太,日本,,,,MF,ミッドフィールダー
日本,J3,栃木SCSC,川田 拳登,日本,,170cm,61kg,MF,ミッドフィールダー
日本,J3,栃木SCSC,矢野 貴章,日本,,,,FW,フォワード
日本,J3,栃木SCSC,五十嵐 太陽,日本,,,,FW,フォワード
日本,J3,栃木SCSC,庄司 朗,日本,,187cm,79kg,FW,フォワード
日本,J3,栃木SCSC,太田 龍之介,日本,,185cm,76kg,FW,フォワード
日本,J3,栃木SCシティ,原田 欽庸,日本,39,,,GK,ゴールキーパー
日本,J3,栃木SCシティ,田中 勘太,日本,27,,,GK,ゴールキーパー
日本,J3,栃木SCシティ,高山 梓,日本,,,,GK,ゴールキーパー
日本,J3,栃木SCシティ,相澤 ピーター コアミ,日本,,,,GK,ゴールキーパー
日本,J3,栃木SCシティ,カルロス エドゥアルド,ブラジル,,,,DF,ディフェンダー
日本,J3,栃木SCシティ,増田 修斗,日本,,,,DF,ディフェンダー
日本,J3,栃木SCシティ,内田 錬平,日本,,,,DF,ディフェンダー
日本,J3,栃木SCシティ,奥井 諒,日本,,,,DF,ディフェンダー
日本,J3,栃木SCシティ,鈴木 隆雅,日本,,,,DF,ディフェンダー
日本,J3,栃木SCシティ,佐藤 喜生,日本,,,,DF,ディフェンダー
日本,J3,栃木SCシティ,鈴木 裕斗,日本,,,,DF,ディフェンダー
日本,J3,栃木SCシティ,梅澤 魁翔,日本,23,173cm,70kg,DF,ディフェンダー
日本,J3,栃木SCシティ,乾 貴哉,日本,,,,DF,ディフェンダー
日本,J3,栃木SCシティ,マテイ ヨニッチ,クロアチア,,,,DF,ディフェンダー
日本,J3,栃木SCシティ,森 俊貴,日本,27,178cm,,MF,ミッドフィールダー
日本,J3,栃木SCシティ,岡庭 裕貴,日本,,,,MF,ミッドフィールダー
日本,J3,栃木SCシティ,表原 玄太,日本,,,,MF,ミッドフィールダー
日本,J3,栃木SCシティ,大嶌 貴,日本,,,,MF,ミッドフィールダー
日本,J3,栃木SCシティ,関野 元弥,日本,,,,MF,ミッドフィールダー
日本,J3,栃木SCシティ,加藤 カレッティ 丈,オーストラリア,,,,MF,ミッドフィールダー
日本,J3,栃木SCシティ,土佐 陸翼,日本,,,,MF,ミッドフィールダー
日本,J3,栃木SCシティ,宇都木 峻,日本,,,,MF,ミッドフィールダー
日本,J3,栃木SCシティ,小西 慶太郎,日本,,,,MF,ミッドフィールダー
日本,J3,栃木SCシティ,都倉 賢,日本,39,,,FW,フォワード
日本,J3,栃木SCシティ,藤原 拓海,日本,26,,,FW,フォワード
日本,J3,栃木SCシティ,村越 健太,日本,28,,,FW,フォワード
日本,J3,栃木SCシティ,吉田 篤志,日本,26,,,FW,フォワード
日本,J3,栃木SCシティ,熊野 敬二郎,日本,23,,,FW,フォワード
日本,J3,栃木SCシティ,タオフィック ジブリル,ナイジェリア,27,181cm,76kg,FW,フォワード
日本,J3,栃木SCシティ,鈴木 国友,日本,,,,FW,フォワード
日本,J3,栃木SCシティ,田中 パウロ 淳一,日本,,,,FW,フォワード
日本,J3,栃木SCシティ,齋藤 恵太,日本,,,,FW,フォワード
日本,J3,栃木SCシティ,ピーター ウタカ,ナイジェリア,,,,FW,フォワード
日本,J3,栃木SCシティ,平岡 将豪,日本,,,,FW,フォワード
日本,J3,ガイナーレ鳥取,寺沢 優太,日本,31,185cm,82kg,GK,ゴールキーパー
日本,J3,ガイナーレ鳥取,櫻庭 立樹,日本,,,,GK,ゴールキーパー
日本,J3,ガイナーレ鳥取,藤田 一途,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,永野 修都,日本,,,,DF,ディフェンダー
日本,J3,ガイナーレ鳥取,二階堂 正哉,日本,,,,DF,ディフェンダー
日本,J3,ガイナーレ鳥取,温井 駿斗,日本,,,,DF,ディフェンダー
日本,J3,ガイナーレ鳥取,普光院 誠,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,大城 蛍,日本,,,,DF,ディフェンダー
日本,J3,ガイナーレ鳥取,棚田 遼,日本,,,,FW,フォワード
日本,J3,ガイナーレ鳥取,富樫 佑太,日本,,,,FW,フォワード
日本,J3,ガイナーレ鳥取,田中 恵太,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,高柳 郁弥,日本,24,172cm,65kg,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,曽我 大地,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,東條 敦輝,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,常安 澪,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,清水 祐輔,日本,,,,DF,ディフェンダー
日本,J3,ガイナーレ鳥取,三木 直土,日本,,,,FW,フォワード
日本,J3,ガイナーレ鳥取,半田 航也,日本,,,,FW,フォワード
日本,J3,ガイナーレ鳥取,林 健太郎,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,金浦 真樹,日本,,,,DF,ディフェンダー
日本,J3,ガイナーレ鳥取,吉田 伊吹,日本,,,,FW,フォワード
日本,J3,ガイナーレ鳥取,西田 結平,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,松本 太一,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,東出 壮太,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,河村 匠,日本,,,,DF,ディフェンダー
日本,J3,ガイナーレ鳥取,丹羽 大地,日本,,,,DF,ディフェンダー
日本,J3,ガイナーレ鳥取,小澤 秀充,日本,,,,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,松木 駿之介,日本,,170cm,64kg,MF,ミッドフィールダー
日本,J3,ガイナーレ鳥取,ダッジィ,,23,177cm,79kg,FW,フォワード
日本,J3,SC相模原,三浦 基瑛,日本,29,186cm,80kg,GK,ゴールキーパー
日本,J3,SC相模原,猪瀬 康介,日本,24,185cm,,GK,ゴールキーパー
日本,J3,SC相模原,ノアム バウマン,スイス,29,,,GK,ゴールキーパー
日本,J3,SC相模原,加藤 大育,日本,,,,DF,ディフェンダー
日本,J3,SC相模原,ケビン ピトリック,ドイツ,,,,DF,ディフェンダー
日本,J3,SC相模原,島川 俊郎,日本,,,,DF,ディフェンダー
日本,J3,SC相模原,田代 真一,日本,,,,DF,ディフェンダー
日本,J3,SC相模原,河野 諒祐,日本,,,,DF,ディフェンダー
日本,J3,SC相模原,高野 遼,日本,,,,DF,ディフェンダー
日本,J3,SC相模原,三鬼 海,日本,,,,DF,ディフェンダー
日本,J3,SC相模原,西久保 駿介,日本,21,,,DF,ディフェンダー
日本,J3,SC相模原,小笠原 佳祐,日本,29,177cm,72kg,DF,ディフェンダー
日本,J3,SC相模原,常田 克人,日本,,,,DF,ディフェンダー
日本,J3,SC相模原,中塩 大貴,日本,,,,DF,ディフェンダー
日本,J3,SC相模原,綿引 康,日本,,,,DF,ディフェンダー
日本,J3,SC相模原,徳永 裕大,日本,,,,MF,ミッドフィールダー
日本,J3,SC相模原,大迫 塁,日本,,,,MF,ミッドフィールダー
日本,J3,SC相模原,竹内 崇人,日本,,,,MF,ミッドフィールダー
日本,J3,SC相模原,福井 和樹,日本,,,,MF,ミッドフィールダー
日本,J3,SC相模原,杉本 蓮,日本,,,,MF,ミッドフィールダー
日本,J3,SC相模原,田中 陸,日本,26,,,MF,ミッドフィールダー
日本,J3,SC相模原,西山 拓実,日本,,,,MF,ミッドフィールダー
日本,J3,SC相模原,高井 和馬,日本,,,,MF,ミッドフィールダー
日本,J3,SC相模原,ラファエル フルタード,ブラジル,,,,FW,フォワード
日本,J3,SC相模原,武藤 雄樹,日本,,,,FW,フォワード
日本,J3,SC相模原,髙木 彰人,日本,27,,,FW,フォワード
日本,J3,SC相模原,前田 泰良,日本,,,,FW,フォワード
日本,J3,SC相模原,左部 開斗,日本,,,,FW,フォワード
日本,J3,SC相模原,加藤 拓己,日本,,,,FW,フォワード
日本,J3,SC相模原,藤沼 拓夢,日本,,,,FW,フォワード
日本,J3,SC相模原,オリグバッジョ イスマイラ,ナイジェリア,26,,,FW,フォワード
日本,J3,FC岐阜,後藤 大輝,日本,29,185cm,79kg,GK,ゴールキーパー
日本,J3,FC岐阜,キム ユゴン,韓国,19,,,DF,ディフェンダー
日本,J3,FC岐阜,野澤 陸,日本,26,,,DF,ディフェンダー
日本,J3,FC岐阜,甲斐 健太郎,日本,30,181cm,65kg,DF,ディフェンダー
日本,J3,FC岐阜,石田 崚真,日本,29,,,DF,ディフェンダー
日本,J3,FC岐阜,萩野 滉大,日本,25,,,DF,ディフェンダー
日本,J3,FC岐阜,大串 昇平,日本,22,,,DF,ディフェンダー
日本,J3,FC岐阜,寺阪 尚悟,日本,21,,,DF,ディフェンダー
日本,J3,FC岐阜,平瀬 大,日本,,,,DF,ディフェンダー
日本,J3,FC岐阜,外山 凌,日本,,,,DF,ディフェンダー
日本,J3,FC岐阜,山田 直輝,日本,34,,,MF,ミッドフィールダー
日本,J3,FC岐阜,粟飯原 尚平,日本,,178cm,75kg,MF,ミッドフィールダー
日本,J3,FC岐阜,松本 歩夢,日本,,179cm,68kg,MF,ミッドフィールダー
日本,J3,ザスパ群馬,近藤 壱成,日本,24,,,GK,ゴールキーパー
日本,J3,ザスパ群馬,キム ジェヒ,韓国,,,,GK,ゴールキーパー
日本,J3,ザスパ群馬,真木 晃平,日本,26,,,GK,ゴールキーパー
日本,J3,ザスパ群馬,志賀 一允,日本,24,,,GK,ゴールキーパー
日本,J3,ザスパ群馬,田頭 亮太,日本,23,,,DF,ディフェンダー
日本,J3,ザスパ群馬,大畑 隆也,日本,,,,DF,ディフェンダー
日本,J3,ザスパ群馬,船橋 勇真,日本,,,,DF,ディフェンダー
日本,J3,ザスパ群馬,菊地 健太,日本,,,,DF,ディフェンダー
日本,J3,ザスパ群馬,高橋 勇利也,日本,,,,DF,ディフェンダー
日本,J3,ザスパ群馬,中野 力瑠,日本,,,,DF,ディフェンダー
日本,J3,ザスパ群馬,小柳 達司,日本,,,,DF,ディフェンダー
日本,J3,ザスパ群馬,野瀬 翔也,日本,,,,DF,ディフェンダー
日本,J3,ザスパ群馬,秋元 琉星,日本,,,,DF,ディフェンダー
日本,J3,ザスパ群馬,新井 夢功,日本,,,,DF,ディフェンダー
日本,J3,ザスパ群馬,米原 秀亮,日本,27,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,西村 恭史,日本,25,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,山内 陸,日本,25,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,加々美 登生,日本,25,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,風間 宏希,日本,34,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,山中 惇希,日本,24,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,モハマド ファルザン佐名,日本,,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,下川 太陽,日本,23,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,藤村 怜,日本,26,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,玉城 大志,日本,26,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,安達 秀都,日本,20,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,瀬畠 義成,日本,24,,,MF,ミッドフィールダー
日本,J3,ザスパ群馬,青木 翔大,日本,34,183cm,75kg,FW,フォワード
日本,J3,ザスパ群馬,髙澤 優也,日本,28,,,FW,フォワード
日本,J3,ザスパ群馬,田中 翔太,日本,24,,,FW,フォワード
日本,J3,ザスパ群馬,小野関 虎之介,日本,21,,,FW,フォワード
日本,J3,ザスパ群馬,河田 篤秀,日本,32,,,FW,フォワード
日本,J3,ザスパ群馬,小西 宏登,日本,22,,,FW,フォワード
日本,J3,ザスパ群馬,中島 大嘉,日本,23,,,FW,フォワード
日本,J3,アスルクラロ沼津,渡辺 健太,日本,27,190cm,84kg,GK,ゴールキーパー
日本,J3,アスルクラロ沼津,前田 宙杜,日本,22,188cm,86kg,GK,ゴールキーパー
日本,J3,アスルクラロ沼津,ジローン ゲギム,ドイツ,20,193cm,88kg,GK,ゴールキーパー
日本,J3,アスルクラロ沼津,山田 晃士,日本,26,181cm,82kg,GK,ゴールキーパー
日本,J3,アスルクラロ沼津,宮脇 茂夫,日本,23,172cm,68kg,DF,ディフェンダー
日本,J3,アスルクラロ沼津,ルーカス セナ,ブラジル,24,172cm,68kg,DF,ディフェンダー
日本,J3,アスルクラロ沼津,グスタボ リッシ,ブラジル,27,184cm,77kg,DF,ディフェンダー
日本,J3,アスルクラロ沼津,篠崎 輝和,日本,27,180cm,70kg,DF,ディフェンダー
日本,J3,アスルクラロ沼津,中村 勇太,日本,25,182cm,77kg,DF,ディフェンダー
日本,J3,アスルクラロ沼津,三原 秀真,日本,23,172cm,68kg,DF,ディフェンダー
日本,J3,アスルクラロ沼津,一丸 大地,日本,23,175cm,72kg,DF,ディフェンダー
日本,J3,アスルクラロ沼津,井上 航希,日本,24,190cm,78kg,DF,ディフェンダー
日本,J3,アスルクラロ沼津,勝又 大地,日本,18,184cm,72kg,DF,ディフェンダー
日本,J3,アスルクラロ沼津,遠山 悠希,日本,21,171cm,70kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,沼田 航征,日本,23,177cm,69kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,鈴木 拳士郎,日本,29,178cm,77kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,佐藤 尚輝,日本,29,172cm,67kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,森 夢真,日本,23,170cm,73kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,渡井 翔琉,日本,23,173cm,68kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,徳永 晃太郎,日本,28,167cm,62kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,藤井 建悟,日本,22,172cm,68kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,菅井 拓也,日本,33,170cm,67kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,柳町 魁耀,日本,23,175cm,68kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,井出 龍志,日本,23,173cm,64kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,川村 悠祐,日本,22,166cm,60kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,向井 ひな太,日本,23,162cm,65kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,中野 遥翔,日本,17,179cm,68kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,岩崎 圭吾,日本,20,175cm,66kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,渡邉 綾平,日本,23,170cm,68kg,MF,ミッドフィールダー
日本,J3,アスルクラロ沼津,鈴木 輪太朗 イブラヒーム,日本,22,192cm,85kg,FW,フォワード
日本,J3,アスルクラロ沼津,齋藤 学,日本,35,170cm,66kg,FW,フォワード
日本,J3,アスルクラロ沼津,川又 堅碁,日本,35,184cm,77kg,FW,フォワード
日本,J3,アスルクラロ沼津,白輪地 敬大,日本,23,172cm,68kg,FW,フォワード
日本,J3,アスルクラロ沼津,ウェベルトン,ブラジル,23,180cm,78kg,FW,フォワード
日本,J3,アスルクラロ沼津,赤塚 ミカエル,日本,24,177cm,71kg,FW,フォワード
イングランド,プレミアリーグ,ブライトン,三苫 薫,日本,28,,,MF,左ウィンガー
イングランド,プレミアリーグ,リーズ,田中 碧,日本,26,,,MF,ミッドフィルダー
イングランド,プレミアリーグ,リヴァプール,遠藤 航,日本,32,,,MF,ミッドフィルダー
イングランド,プレミアリーグ,トッテナム,高井 幸大,日本,20,,,DF,センターバック
スペイン,ラ・リーガ,ソシエダ,久保 建英,日本,24,,,MF,右ウィンガー
イタリア,セリエA,パルマ,鈴木 彩艶,日本,22,,,GK,ゴールキーパー
ドイツ,ブンデスリーガ,バイエルン,伊藤 洋輝,日本,26,,,DF,センターバック
フランス,リーグ・アン,モナコ,南野 拓実,日本,30,,,MF,左ウィンガー
