順位,チーム名,勝点,試合数,勝,分,敗,得点,失点,得失点差
1,鹿児島,16,6,5,1,0,12,6,6
2,愛媛,13,5,4,1,0,15,5,10
3,相模原,11,6,3,2,1,11,6,5
4,岐阜,10,6,3,1,2,15,4,11
5,琉球,10,6,3,1,2,9,6,3
6,山口,10,6,3,1,2,7,4,3
7,鳥取,10,6,3,1,2,8,11,-3
8,熊本,9,6,2,3,1,6,4,2
9,滋賀,9,6,3,0,3,10,10,0
10,栃木SC,9,6,2,3,1,9,9,0
11,長野,8,6,2,2,2,7,8,-1
12,奈良,8,6,2,2,2,11,13,-2
13,FC大阪,7,5,1,4,0,7,5,2
14,金沢,7,6,2,1,3,9,10,-1
15,高知,5,6,1,2,3,3,13,-10
16,福島,4,6,1,1,4,11,13,-2
17,松本,4,6,0,4,2,6,9,-3
18,讃岐,4,6,1,1,4,6,11,-5
19,北九州,3,6,0,3,3,7,14,-7
20,群馬,3,6,1,0,5,6,14,-8
